record,species,count,lat
409,Wandering albatross sensu lato PL3,2,-37
410,Wandering albatross sensu lato PL4,1,-34
411,Short-tailed shearwater,1,-38
412,Wandering albatross sensu lato PL2,1,-38
413,Wandering albatross sensu lato PL3,2,-38
414,Wandering albatross sensu lato PL4,2,-38
415,Short-tailed shearwater,3,-38
416,Wandering albatross sensu lato PL4,2,-37
417,Short-tailed shearwater,5,-37
418,Wandering albatross sensu lato PL1,1,-37
419,Wandering albatross sensu lato PL2,2,-36
420,Wandering albatross sensu lato PL3,2,-36
421,Wandering albatross sensu lato PL4,1,-36
422,Short-tailed shearwater,4,-36
423,Wandering albatross sensu lato PL1,1,-36
424,Wandering albatross sensu lato PL3,3,-36
425,Wandering albatross sensu lato PL1,1,-35
426,Wandering albatross sensu lato PL3,4,-35
427,All dark petrel (unidentified),2,-35
428,Wandering albatross sensu lato PL1,1,-34
429,Wandering albatross sensu lato PL3,3,-34
430,Short-tailed shearwater,42,-34
431,All dark petrel (unidentified),2,-34
432,Wandering albatross sensu lato PL1,1,-34
433,Wandering albatross sensu lato PL2,1,-34
434,Wandering albatross sensu lato PL3,3,-34
435,Wedge-tailed shearwater,1,-35
436,Wandering albatross sensu lato PL1,1,-35
437,Wandering albatross sensu lato PL2,1,-35
438,Wandering albatross sensu lato PL3,3,-36
439,Short-tailed shearwater,20,-36
440,Wandering albatross sensu lato PL3,2,-36
441,Short-tailed shearwater,50,-36
442,Pomarine skua AD LGHT,1,-38
443,Pomarine skua JUV,1,-38
444,Crested tern AD,20,-38
445,Tern (unidentified),200,-38
446,Common tern,30,-38
447,Wandering albatross sensu lato PL3,1,-38
448,Short-tailed shearwater,30,-38
449,Crested tern AD,9,-38
450,Common tern AD,3,-38
451,Common tern JUV,30,-38
452,Wandering albatross sensu lato PL1,1,-38
453,Wandering albatross sensu lato PL2,1,-38
454,Short-tailed shearwater,10,-38
455,Pomarine skua AD,2,-38
456,Pomarine skua SUBAD,4,-38
457,Tern (unidentified),50,-54
458,Pomarine skua AD,NA,-53
459,Jaeger (unidentified),NA,-53
460,Wandering albatross sensu lato PL1,1,-53
461,Wandering albatross sensu lato PL2,1,-53
462,Wandering albatross sensu lato PL3,4,-53
463,Providence petrel,2,-53
464,Wandering albatross sensu lato PL1,1,-53
465,Wandering albatross sensu lato PL2,1,-52
466,Wandering albatross sensu lato PL3,5,-52
467,Grey-faced petrel,2,-52
468,Wandering albatross sensu lato PL2,1,-50
469,Wandering albatross sensu lato PL3,1,-50
470,Grey-faced petrel,1,-50
471,Short-tailed shearwater,250,-49
472,Wandering albatross sensu lato PL2,1,-48
473,Wandering albatross sensu lato PL3,3,-48
474,Grey-faced petrel,1,-48
475,Short-tailed shearwater,300,-46
476,Sooty tern AD,4,-46
477,Wandering albatross sensu lato PL2,1,-46
478,Wandering albatross sensu lato PL3,3,-46
479,Grey-faced petrel,2,-46
480,Sooty tern,1,-45
481,Wandering albatross sensu lato PL1,2,-45
482,Wandering albatross sensu lato PL3,4,-44
483,Wandering albatross sensu lato PL1,2,-44
484,Wandering albatross sensu lato PL2,1,-44
485,Wandering albatross sensu lato PL3,3,-44
486,Wandering albatross sensu lato PL1,2,-43
487,Wandering albatross sensu lato PL2,1,-41
488,Wandering albatross sensu lato PL3,3,-41
489,Grey-faced petrel,1,-41
490,Wandering albatross sensu lato PL1,1,-40
491,Wandering albatross sensu lato PL2,1,-40
492,Wandering albatross sensu lato PL3,4,-38
493,Wedge-tailed shearwater,1,-66.98333333333333
494,Sooty tern AD,31,-65
495,Wandering albatross sensu lato PL1,1,-65
496,Wandering albatross sensu lato PL3,4,-65
497,Gould's petrel,1,-65
498,All dark petrel (unidentified),5,-65
499,Storm-petrel (unidentified),1,-65
500,Sooty tern AD,5,-64
501,Wandering albatross sensu lato PL1,1,-64
502,Wandering albatross sensu lato PL3,4,-65
503,All dark shearwater (unidentified),1,-64
504,Sooty tern AD,15,-64
505,Wandering albatross sensu lato PL1,1,-65
506,Wandering albatross sensu lato PL3,1,-66
507,Sooty tern AD,2,-65
508,Wandering albatross sensu lato PL1,1,-65
509,Wandering albatross sensu lato PL3,2,-65
510,Sooty tern AD,4,-65
511,Wandering albatross sensu lato PL3,1,-65
512,All dark shearwater (unidentified),1,-66
513,Wandering albatross sensu lato PL1,4,-66
514,Wandering albatross sensu lato PL2,4,-66
515,Wandering albatross sensu lato PL3,3,-68
516,Wandering albatross sensu lato PL4,2,-68
517,Black-browed albatross sensu lato AD,1,-69
518,Cape petrel,3,-68
